City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busca,IT,2020-06-28 14:24:34,44.52,7.47,88.0,54,2,3.36
1,Clyde River,CA,2020-06-28 14:24:34,70.47,-68.59,32.0,80,90,6.93
2,Mumford,GH,2020-06-28 14:22:49,5.26,-0.76,78.66,83,13,16.13
3,Cidreira,BR,2020-06-28 14:24:34,-30.18,-50.21,57.36,62,0,4.12
4,Barrow,US,2020-06-28 14:24:34,71.29,-156.79,44.6,81,1,9.17
5,Albany,US,2020-06-28 14:24:34,42.6,-73.97,69.01,92,14,0.83
6,Meulaboh,ID,2020-06-28 14:24:34,4.14,96.13,80.37,82,99,4.52
7,Ushuaia,AR,2020-06-28 14:19:57,-54.8,-68.3,35.6,69,75,19.46
8,Carnarvon,AU,2020-06-28 14:24:34,-24.87,113.63,69.8,100,75,13.87
9,Qaanaaq,GL,2020-06-28 14:24:34,77.48,-69.36,43.5,62,57,5.03
10,Tatvan,TR,2020-06-28 14:24:34,38.51,42.28,84.2,35,75,6.93
11,Tura,IN,2020-06-28 14:24:34,25.52,90.22,75.54,96,50,5.91
12,La Ronge,CA,2020-06-28 14:24:34,55.1,-105.28,60.8,87,75,5.82
13,Bagotville,AU,2020-06-28 14:24:35,-28.98,153.42,55.4,93,90,6.71
14,Port Alfred,ZA,2020-06-28 14:24:35,-33.59,26.89,63.0,69,11,8.99
15,Tiksi,RU,2020-06-28 14:24:35,71.69,128.87,39.99,72,100,3.76
16,Marsa Matruh,EG,2020-06-28 14:22:49,31.35,27.25,80.6,54,0,11.41
17,Kodinsk,RU,2020-06-28 14:24:35,58.69,99.18,71.28,51,0,1.81
18,Waipawa,NZ,2020-06-28 14:24:35,-41.41,175.52,54.0,75,15,5.99
19,Shelburne,CA,2020-06-28 14:23:59,44.08,-80.2,73.0,73,20,9.17
20,Nhulunbuy,AU,2020-06-28 14:24:35,-12.23,136.77,73.4,83,40,6.93
21,Rikitea,PF,2020-06-28 14:22:49,-23.12,-134.97,68.34,61,0,19.69
22,Montlucon,FR,2020-06-28 14:24:35,46.33,2.6,69.01,76,100,4.0
23,Vuktyl,RU,2020-06-28 14:24:35,63.86,57.31,50.05,62,77,13.6
24,Kamalapuram,IN,2020-06-28 14:22:49,14.58,78.65,92.28,47,100,1.83
25,Vanimo,PG,2020-06-28 14:24:35,-2.67,141.3,80.02,84,100,7.94
26,Eugene,US,2020-06-28 14:24:35,44.05,-123.09,55.99,82,90,3.36
27,Santana Do Livramento,BR,2020-06-28 14:22:49,-30.89,-55.53,50.09,69,12,6.6
28,Inhambane,MZ,2020-06-28 14:24:35,-23.86,35.38,86.0,33,0,5.82
29,Port Elizabeth,ZA,2020-06-28 14:24:35,-33.92,25.57,60.8,67,75,27.51
30,Hithadhoo,MV,2020-06-28 14:24:36,-0.6,73.08,85.69,68,100,7.9
31,Klaksvik,FO,2020-06-28 14:24:36,62.23,-6.59,57.2,93,75,17.22
32,Great Bend,US,2020-06-28 14:24:16,38.36,-98.76,80.01,69,1,24.16
33,Rancho Palos Verdes,US,2020-06-28 14:22:50,33.74,-118.39,64.99,90,100,4.27
34,Timmins,CA,2020-06-28 14:24:36,48.47,-81.33,69.8,60,20,6.93
35,Ribeira Grande,PT,2020-06-28 14:24:36,38.52,-28.7,73.4,83,75,11.41
36,Pizarro,CO,2020-06-28 14:24:36,4.95,-77.37,76.59,90,100,5.73
37,Cayenne,GF,2020-06-28 14:19:38,4.93,-52.33,82.4,78,39,3.36
38,Tazovskiy,RU,2020-06-28 14:24:36,67.47,78.7,57.42,85,87,9.33
39,Victoria,HK,2020-06-28 14:22:51,22.29,114.16,86.0,70,99,5.01
40,Mitu,CO,2020-06-28 14:24:36,1.2,-70.17,72.77,96,96,1.86
41,Lebu,CL,2020-06-28 14:24:36,-37.62,-73.65,52.83,93,93,15.64
42,Busselton,AU,2020-06-28 14:24:36,-33.65,115.33,55.99,71,100,30.11
43,Punta Arenas,CL,2020-06-28 14:24:36,-53.15,-70.92,23.0,92,0,8.05
44,Kaitangata,NZ,2020-06-28 14:24:36,-46.28,169.85,46.0,74,100,8.99
45,Atuona,PF,2020-06-28 14:22:50,-9.8,-139.03,79.36,80,54,14.92
46,Cabo San Lucas,MX,2020-06-28 14:24:36,22.89,-109.91,82.0,65,96,1.61
47,Georgetown,MY,2020-06-28 14:19:44,5.41,100.34,86.0,79,40,8.05
48,Kupang,ID,2020-06-28 14:22:50,-10.17,123.58,76.08,77,100,12.1
49,Puerto Ayora,EC,2020-06-28 14:22:50,-0.74,-90.35,70.0,96,98,3.0
50,Bilibino,RU,2020-06-28 14:24:36,68.05,166.44,32.74,92,2,6.42
51,Jamestown,US,2020-06-28 14:24:36,42.1,-79.24,73.0,68,20,10.29
52,Churapcha,RU,2020-06-28 14:24:37,62.0,132.43,67.57,50,37,3.33
53,Bluff,NZ,2020-06-28 14:24:37,-46.6,168.33,46.76,71,97,11.52
54,Yulara,AU,2020-06-28 14:22:50,-25.24,130.99,51.8,32,0,8.05
55,Hermanus,ZA,2020-06-28 14:22:50,-34.42,19.23,60.01,74,40,8.01
56,Bathsheba,BB,2020-06-28 14:24:37,13.22,-59.52,84.2,74,75,12.75
57,Pitimbu,BR,2020-06-28 14:24:37,-7.47,-34.81,82.4,74,75,11.41
58,Khatanga,RU,2020-06-28 14:24:05,71.97,102.5,82.53,35,36,5.7
59,Aripuana,BR,2020-06-28 14:24:37,-9.17,-60.63,84.61,50,4,3.74
60,Arraial Do Cabo,BR,2020-06-28 14:24:37,-22.97,-42.03,73.4,73,3,13.87
61,Port Moresby,PG,2020-06-28 14:22:51,-9.44,147.18,78.8,88,75,11.41
62,Khakhea,BW,2020-06-28 14:24:37,-24.69,23.49,70.9,21,0,9.57
63,Luderitz,NA,2020-06-28 14:24:37,-26.65,15.16,68.02,48,0,24.74
64,Hobart,AU,2020-06-28 14:23:53,-42.88,147.33,43.0,81,90,5.82
65,Ancud,CL,2020-06-28 14:22:51,-41.87,-73.82,45.0,100,90,6.93
66,Katsuura,JP,2020-06-28 14:24:37,35.13,140.3,69.01,93,100,1.01
67,Vaini,TO,2020-06-28 14:24:37,-21.2,-175.2,75.2,94,40,5.82
68,Saint-Philippe,RE,2020-06-28 14:24:37,-21.36,55.77,73.4,73,40,3.36
69,Abha,SA,2020-06-28 14:24:38,18.22,42.51,89.6,11,75,25.28
70,Ojinaga,MX,2020-06-28 14:24:38,29.57,-104.42,78.8,50,1,4.7
71,New Norfolk,AU,2020-06-28 14:24:38,-42.78,147.06,43.0,91,57,2.86
72,Ponta Delgada,PT,2020-06-28 14:24:38,37.73,-25.67,69.8,94,75,14.99
73,Dikson,RU,2020-06-28 14:24:38,73.51,80.55,41.49,100,100,3.31
74,Langxiang,CN,2020-06-28 14:22:51,46.95,128.88,57.58,90,100,1.54
75,Bengkulu,ID,2020-06-28 14:24:38,-3.8,102.27,79.84,85,68,8.12
76,Kailua,US,2020-06-28 14:19:39,21.4,-157.74,75.2,69,20,3.36
77,Rio Grande,BR,2020-06-28 14:21:36,-32.03,-52.1,55.4,71,0,3.36
78,Makakilo City,US,2020-06-28 14:22:51,21.35,-158.09,75.2,73,1,3.36
79,Margate,GB,2020-06-28 14:24:38,51.38,1.39,66.99,54,0,7.0
80,Yerbogachen,RU,2020-06-28 14:24:38,61.28,108.01,67.37,65,10,4.59
81,Novikovo,RU,2020-06-28 14:24:38,51.15,37.89,77.0,69,100,9.1
82,Cape Town,ZA,2020-06-28 14:22:40,-33.93,18.42,62.01,59,75,5.82
83,Chuy,UY,2020-06-28 14:24:38,-33.7,-53.46,50.31,69,0,6.49
84,Santa Isabel,BR,2020-06-28 14:24:38,-23.32,-46.22,60.8,82,90,3.36
85,Hofn,IS,2020-06-28 14:22:52,64.25,-15.21,68.0,52,75,20.8
86,Dwarka,IN,2020-06-28 14:24:38,22.24,68.97,87.98,79,46,15.14
87,Saskylakh,RU,2020-06-28 14:24:38,71.92,114.08,72.1,46,98,12.68
88,Soure,BR,2020-06-28 14:22:52,-0.72,-48.52,82.58,71,0,7.25
89,Bredasdorp,ZA,2020-06-28 14:24:38,-34.53,20.04,62.6,63,44,10.29
90,Itaituba,BR,2020-06-28 14:24:38,-4.28,-55.98,87.8,70,40,4.7
91,Thompson,CA,2020-06-28 14:24:39,55.74,-97.86,59.0,93,90,8.05
92,Mount Isa,AU,2020-06-28 14:24:39,-20.73,139.5,60.8,44,0,8.05
93,Castro,BR,2020-06-28 14:24:39,-24.79,-50.01,52.68,90,100,6.22
94,Hastings,GB,2020-06-28 14:22:52,50.86,0.57,66.99,57,2,10.0
95,Shestakovo,RU,2020-06-28 14:24:39,56.49,103.96,69.51,55,100,5.03
96,Shuangyang,CN,2020-06-28 14:24:39,43.52,125.67,77.0,50,40,8.95
97,Cherskiy,RU,2020-06-28 14:24:39,68.75,161.3,36.37,83,89,10.74
98,Mount Gambier,AU,2020-06-28 14:22:52,-37.83,140.77,41.0,93,21,5.82
99,Faanui,PF,2020-06-28 14:22:52,-16.48,-151.75,76.33,80,18,24.47
100,Muros,ES,2020-06-28 14:24:39,42.78,-9.06,66.99,93,100,8.01
101,Xingyi,CN,2020-06-28 14:24:39,24.19,102.82,65.39,91,86,4.27
102,Kapaa,US,2020-06-28 14:24:11,22.08,-159.32,75.2,88,75,10.29
103,Chara,RU,2020-06-28 14:22:52,56.91,118.26,64.56,58,83,2.3
104,Tuktoyaktuk,CA,2020-06-28 14:24:39,69.45,-133.04,37.4,100,90,3.36
105,Salalah,OM,2020-06-28 14:22:52,17.02,54.09,86.0,84,75,11.41
106,Lagoa,PT,2020-06-28 14:22:53,39.05,-27.98,68.41,90,100,7.09
107,Yenotayevka,RU,2020-06-28 14:24:39,47.25,47.03,89.26,23,0,10.18
108,Upernavik,GL,2020-06-28 14:24:39,72.79,-56.15,41.41,72,0,6.98
109,Abu Dhabi,AE,2020-06-28 14:24:39,24.47,54.37,98.6,50,89,11.41
110,Surt,LY,2020-06-28 14:22:53,31.21,16.59,83.21,43,0,15.99
111,Sorland,NO,2020-06-28 14:24:39,67.67,12.69,59.0,72,41,12.75
112,Hasaki,JP,2020-06-28 14:22:53,35.73,140.83,68.0,100,75,2.24
113,Hilo,US,2020-06-28 14:22:53,19.73,-155.09,73.4,88,90,5.82
114,Zhangjiakou,CN,2020-06-28 14:24:40,40.81,114.88,69.15,68,99,3.47
115,Xuanhua,CN,2020-06-28 14:24:40,40.61,115.04,70.84,67,97,3.29
116,Barbastro,ES,2020-06-28 14:24:40,42.04,0.13,89.6,40,75,4.7
117,Havre-Saint-Pierre,CA,2020-06-28 14:24:40,50.23,-63.6,64.4,72,90,12.75
118,Muzhi,RU,2020-06-28 14:24:40,65.37,64.67,54.3,56,100,13.0
119,Leningradskiy,RU,2020-06-28 14:24:40,69.38,178.42,30.72,98,100,4.65
120,Lazaro Cardenas,MX,2020-06-28 14:24:40,17.96,-102.2,80.56,69,99,5.26
121,Tual,ID,2020-06-28 14:24:40,-5.67,132.75,79.9,83,100,20.38
122,Sao Filipe,CV,2020-06-28 14:24:40,14.9,-24.5,76.59,77,21,9.24
123,Pisco,PE,2020-06-28 14:24:40,-13.7,-76.22,62.01,82,90,8.05
124,Zhigansk,RU,2020-06-28 14:22:53,66.77,123.37,69.48,50,0,15.48
125,Buala,SB,2020-06-28 14:24:40,-8.14,159.59,80.44,80,15,4.25
126,Sobolevo,RU,2020-06-28 14:24:40,54.43,31.9,73.11,76,100,5.55
127,Esmeraldas,BR,2020-06-28 14:24:40,-19.76,-44.31,78.8,53,97,2.24
128,Campos Novos,BR,2020-06-28 14:24:40,-27.4,-51.23,55.62,80,71,3.09
129,Kodiak,US,2020-06-28 14:22:53,57.79,-152.41,51.8,87,90,3.36
130,Tokoroa,NZ,2020-06-28 14:22:53,-38.23,175.87,46.0,93,75,3.0
131,Geraldton,AU,2020-06-28 14:22:54,-28.77,114.6,64.4,88,75,24.16
132,Podyuga,RU,2020-06-28 14:22:54,61.09,40.86,56.88,51,84,6.71
133,Solton,RU,2020-06-28 14:21:06,52.84,86.48,60.98,70,100,2.13
134,Mizan Teferi,ET,2020-06-28 14:24:41,6.98,35.58,69.67,90,96,1.74
135,Mountain Home,US,2020-06-28 14:24:41,43.13,-115.69,59.0,33,90,16.11
136,Iqaluit,CA,2020-06-28 14:24:41,63.75,-68.51,37.4,86,75,6.93
137,Walvis Bay,NA,2020-06-28 14:24:41,-22.96,14.51,77.0,20,0,9.17
138,Nyurba,RU,2020-06-28 14:22:54,63.28,118.33,69.66,57,64,4.18
139,Chokurdakh,RU,2020-06-28 14:24:41,70.63,147.92,54.84,63,99,11.12
140,Galle,LK,2020-06-28 14:24:41,6.04,80.22,82.36,82,93,11.99
141,Johnshaven,GB,2020-06-28 14:24:41,56.79,-2.34,60.8,82,100,19.46
142,Bangkalan,ID,2020-06-28 14:24:41,-7.05,112.74,79.75,76,0,5.79
143,Srandakan,ID,2020-06-28 14:22:54,-7.94,110.25,77.68,87,46,10.47
144,Husavik,IS,2020-06-28 14:22:54,66.04,-17.34,53.6,87,20,8.05
145,Tuatapere,NZ,2020-06-28 14:24:41,-46.13,167.68,44.82,80,98,7.34
146,Bambous Virieux,MU,2020-06-28 14:24:41,-20.34,57.76,73.99,78,75,6.93
147,East London,ZA,2020-06-28 14:24:41,-33.02,27.91,68.0,34,42,23.04
148,Muyezerskiy,RU,2020-06-28 14:24:41,63.93,31.65,60.66,45,91,5.57
149,Yumen,CN,2020-06-28 14:22:54,40.28,97.2,75.88,22,0,13.06
150,Torbay,CA,2020-06-28 14:24:41,47.67,-52.73,62.01,93,90,6.93
151,Airai,TL,2020-06-28 14:24:41,-8.93,125.41,56.86,100,91,2.93
152,Taoudenni,ML,2020-06-28 14:22:54,22.68,-3.98,117.43,5,0,2.39
153,Qena,EG,2020-06-28 14:22:54,26.16,32.72,104.0,24,0,9.17
154,Calbuco,CL,2020-06-28 14:24:41,-41.77,-73.13,44.6,93,75,9.17
155,Yellowknife,CA,2020-06-28 14:23:20,62.46,-114.35,59.0,58,75,18.34
156,Berlevag,NO,2020-06-28 14:24:42,70.86,29.09,44.31,80,83,10.25
157,Broome,US,2020-06-28 14:24:42,42.25,-75.83,75.0,88,90,6.93
158,Narasannapeta,IN,2020-06-28 14:24:42,18.42,84.05,84.51,79,100,8.1
159,Esperance,AU,2020-06-28 14:24:42,-33.87,121.9,57.2,93,90,12.75
160,Vila Franca Do Campo,PT,2020-06-28 14:22:55,37.72,-25.43,69.8,94,75,14.99
161,Ugoofaaru,MV,2020-06-28 14:24:42,5.67,73.0,83.44,79,17,15.35
162,Nouadhibou,MR,2020-06-28 14:24:42,20.93,-17.03,78.8,61,0,21.92
163,Guerrero Negro,MX,2020-06-28 14:24:42,27.98,-114.06,65.59,82,0,5.75
164,Ucar,AZ,2020-06-28 14:22:55,40.52,47.65,78.8,53,75,2.24
165,Key West,US,2020-06-28 14:24:42,24.56,-81.78,91.4,66,20,11.41
166,Mvomero,TZ,2020-06-28 14:24:42,-6.25,38.67,86.0,58,75,12.75
167,Bethel,US,2020-06-28 14:23:29,41.37,-73.41,81.0,65,40,5.82
168,Provideniya,RU,2020-06-28 14:24:42,64.38,-173.3,39.54,78,100,16.17
169,San Cristobal,VE,2020-06-28 14:23:59,7.77,-72.22,82.4,54,40,6.93
170,Kathu,TH,2020-06-28 14:22:55,7.92,98.33,78.8,94,40,1.12
171,Port-Gentil,GA,2020-06-28 14:24:43,-0.72,8.78,80.6,74,40,12.75
172,Chor,PK,2020-06-28 14:24:43,25.52,69.77,101.48,35,0,22.15
173,Onega,RU,2020-06-28 14:24:43,63.91,38.14,53.2,56,95,9.1
174,Simao,CN,2020-06-28 14:24:43,22.79,100.97,68.59,93,97,3.11
175,Sens,FR,2020-06-28 14:24:43,48.17,3.33,64.99,82,100,13.11
176,Coxim,BR,2020-06-28 14:24:43,-18.51,-54.76,78.03,63,54,9.35
177,Lompoc,US,2020-06-28 14:24:32,34.64,-120.46,57.2,93,100,5.82
178,Port Macquarie,AU,2020-06-28 14:24:43,-31.43,152.92,48.99,94,18,8.39
179,Botesti,RO,2020-06-28 14:24:43,46.8,27.88,90.0,29,0,5.82
180,Kavaratti,IN,2020-06-28 14:24:43,10.57,72.64,83.52,80,99,18.84
181,Bubaque,GW,2020-06-28 14:24:43,11.28,-15.83,82.04,77,27,10.0
182,Butaritari,KI,2020-06-28 14:24:43,3.07,172.79,83.07,75,56,15.14
183,Padang,ID,2020-06-28 14:24:43,-0.95,100.35,80.26,78,41,4.16
184,Sukumo,JP,2020-06-28 14:24:44,32.93,132.73,71.71,81,100,6.06
185,Chake Chake,TZ,2020-06-28 14:24:44,-5.25,39.77,79.14,81,27,10.16
186,Prokopyevsk,RU,2020-06-28 14:24:44,53.91,86.72,59.02,74,100,5.46
187,Sitka,US,2020-06-28 14:24:44,57.05,-135.33,53.6,81,75,6.93
188,Srednekolymsk,RU,2020-06-28 14:22:56,67.45,153.68,53.82,42,100,7.83
189,Saint-Augustin,CA,2020-06-28 14:24:44,51.23,-58.65,60.42,67,22,16.26
190,Qasigiannguit,GL,2020-06-28 14:24:44,68.82,-51.19,42.8,75,75,5.82
191,Atambua,ID,2020-06-28 14:24:44,-9.11,124.89,70.16,88,31,4.97
192,Kitui,KE,2020-06-28 14:24:44,-1.37,38.01,77.97,47,76,10.49
193,Natal,BR,2020-06-28 14:24:44,-5.79,-35.21,82.4,74,20,16.11
194,Constitucion,CL,2020-06-28 14:24:44,-35.33,-72.42,52.72,92,100,13.06
195,Souillac,MU,2020-06-28 14:22:56,-20.52,57.52,73.4,78,75,6.93
196,Bereda,ES,2020-06-28 14:24:44,43.27,-7.54,73.0,72,99,8.01
197,Ahipara,NZ,2020-06-28 14:24:44,-35.17,173.17,55.67,74,3,14.05
198,Orzinuovi,IT,2020-06-28 14:24:44,45.4,9.92,89.01,45,0,1.01
199,Mataura,NZ,2020-06-28 14:24:45,-46.19,168.86,42.24,90,100,4.32
200,Richmond,US,2020-06-28 14:24:13,37.55,-77.46,84.99,65,75,3.36
201,Prainha,BR,2020-06-28 14:24:45,-1.8,-53.48,81.79,79,96,4.32
202,Fortuna,US,2020-06-28 14:24:45,40.6,-124.16,54.0,87,75,8.05
203,Kruisfontein,ZA,2020-06-28 14:24:45,-34.0,24.73,58.08,62,12,24.96
204,Arman,RU,2020-06-28 14:24:45,59.7,150.17,47.39,86,1,3.09
205,Talnakh,RU,2020-06-28 14:24:45,69.49,88.4,82.4,32,59,15.66
206,Petoa,HN,2020-06-28 14:22:57,15.27,-88.28,80.01,83,75,5.82
207,Carutapera,BR,2020-06-28 14:24:45,-1.2,-46.02,85.98,63,0,7.43
208,Juan Lacaze,UY,2020-06-28 14:24:45,-34.43,-57.44,52.0,81,75,3.36
209,Bernay,FR,2020-06-28 14:24:45,49.17,0.67,71.01,48,70,8.99
210,Lishan,CN,2020-06-28 14:24:45,31.86,113.3,70.57,88,70,6.08
211,Dong Hoi,VN,2020-06-28 14:24:45,17.48,106.6,81.12,83,1,8.81
212,Avarua,CK,2020-06-28 14:24:45,-21.21,-159.78,71.6,73,55,10.29
213,Asau,RO,2020-06-28 14:24:45,46.43,26.4,88.0,40,20,3.36
214,Camacha,PT,2020-06-28 14:24:45,33.08,-16.33,75.2,73,40,14.99
215,Sabha,LY,2020-06-28 14:22:57,27.04,14.43,101.59,11,0,13.33
216,Qiongshan,CN,2020-06-28 14:24:45,20.01,110.35,82.4,83,60,8.95
217,Chapala,MX,2020-06-28 14:24:45,20.3,-103.2,69.01,77,40,2.64
218,Banjar,ID,2020-06-28 14:24:45,-8.19,114.97,80.6,100,75,8.05
219,Kendari,ID,2020-06-28 14:24:46,-3.94,122.5,74.05,93,99,2.26
220,Penarroya-Pueblonuevo,ES,2020-06-28 14:24:46,38.3,-5.27,100.4,19,0,5.82
221,Dingle,PH,2020-06-28 14:24:46,11.0,122.67,77.4,86,100,2.17
222,Deputatskiy,RU,2020-06-28 14:24:46,69.3,139.9,58.01,84,65,5.7
223,Sorong,ID,2020-06-28 14:20:43,-0.88,131.25,80.02,82,100,7.52
224,Voh,NC,2020-06-28 14:22:57,-20.97,164.7,64.33,82,11,3.8
225,Sinnamary,GF,2020-06-28 14:24:46,5.38,-52.95,82.44,77,2,3.0
226,Puerto Carreno,CO,2020-06-28 14:24:46,6.19,-67.49,77.0,88,75,2.24
227,Pevek,RU,2020-06-28 14:22:58,69.7,170.31,31.98,99,100,18.7
228,San Patricio,MX,2020-06-28 14:22:58,19.22,-104.7,80.6,74,40,3.27
229,Monki,PL,2020-06-28 14:24:46,53.41,22.8,82.0,57,0,9.51
230,Pathein,MM,2020-06-28 14:24:46,16.78,94.73,77.79,86,88,2.68
231,Mar Del Plata,AR,2020-06-28 14:22:58,-38.0,-57.56,46.4,75,0,3.36
232,Peniche,PT,2020-06-28 14:22:58,39.36,-9.38,80.01,72,1,11.99
233,Surab,PK,2020-06-28 14:24:46,28.49,66.26,89.49,12,0,14.41
234,Horsham,GB,2020-06-28 14:24:46,51.06,-0.33,66.99,48,40,17.22
235,Lasa,IT,2020-06-28 14:24:46,46.62,10.7,78.01,49,75,8.05
236,Mercedes,AR,2020-06-28 14:24:46,-34.65,-59.43,52.0,80,61,1.99
237,Fairbanks,US,2020-06-28 14:24:46,64.84,-147.72,57.0,66,1,5.82
238,Porto Walter,BR,2020-06-28 14:24:46,-8.27,-72.74,80.51,73,33,0.83
239,Shetpe,KZ,2020-06-28 14:22:58,44.17,52.12,81.34,21,28,17.69
240,Havelock,US,2020-06-28 14:21:55,34.88,-76.9,84.2,62,1,8.05
241,Kachiry,KZ,2020-06-28 14:24:47,53.07,76.1,62.94,50,37,12.41
242,Gbarnga,LR,2020-06-28 14:24:47,7.0,-9.47,83.98,68,75,3.49
243,Olafsvik,IS,2020-06-28 14:22:58,64.89,-23.71,54.16,83,100,5.26
244,Timizart,DZ,2020-06-28 14:24:47,36.8,4.27,86.61,33,0,7.76
245,Urzhum,RU,2020-06-28 14:24:47,57.11,50.0,58.93,68,51,10.6
246,Vardo,NO,2020-06-28 14:24:47,70.37,31.11,51.8,66,20,5.82
247,Zabaykalsk,RU,2020-06-28 14:22:58,49.63,117.32,63.07,63,15,3.33
248,Belaya Gora,RU,2020-06-28 14:24:47,68.53,146.42,63.82,46,100,4.76
249,Tasiilaq,GL,2020-06-28 14:24:47,65.61,-37.64,46.4,81,100,10.29
250,Nikolayevka,RU,2020-06-28 14:24:47,53.13,47.2,69.35,59,43,5.86
251,Ayagoz,KZ,2020-06-28 14:22:59,47.97,80.44,62.96,34,63,8.99
252,Tabivere,EE,2020-06-28 14:24:47,58.55,26.6,84.99,44,13,9.17
253,Nioro,GM,2020-06-28 14:24:47,13.35,-15.75,98.89,32,51,10.58
254,Kazachinskoye,RU,2020-06-28 14:24:47,57.7,93.28,69.62,72,94,6.69
255,Sarab,IR,2020-06-28 14:24:47,38.61,44.99,77.94,40,37,8.88
256,Kavieng,PG,2020-06-28 14:22:59,-2.57,150.8,82.44,80,23,12.48
257,Mahebourg,MU,2020-06-28 14:24:47,-20.41,57.7,73.4,78,75,6.93
258,Praia Da Vitoria,PT,2020-06-28 14:24:47,38.73,-27.07,73.4,73,40,6.26
259,Bonoua,CI,2020-06-28 14:22:59,5.27,-3.6,78.8,88,40,12.75
260,Tosno,RU,2020-06-28 14:24:47,59.54,30.88,69.8,35,0,15.66
261,Cristinapolis,BR,2020-06-28 14:24:47,-11.48,-37.76,81.23,61,4,6.42
262,Arlit,NE,2020-06-28 14:24:48,18.74,7.39,107.87,6,0,15.26
263,Komsomolskiy,UZ,2020-06-28 14:22:59,40.43,71.72,82.4,11,0,2.24
264,Atar,MR,2020-06-28 14:24:48,20.52,-13.05,111.51,6,0,24.25
265,Luanda,AO,2020-06-28 14:22:59,-8.84,13.23,77.0,69,20,10.29
266,Avon Park,US,2020-06-28 14:24:48,27.6,-81.51,86.0,74,1,5.82
267,Port Keats,AU,2020-06-28 14:24:48,-14.25,129.55,70.66,42,57,6.2
268,Tilichiki,RU,2020-06-28 14:24:48,60.47,166.1,43.25,94,33,2.82
269,Huallanca,PE,2020-06-28 14:24:48,-9.9,-76.94,50.32,47,16,5.12
270,Ribeira Brava,PT,2020-06-28 14:22:59,32.65,-17.07,75.0,75,2,8.01
271,Qinnan,CN,2020-06-28 14:24:48,33.25,119.91,70.41,95,100,12.41
272,Ayan,RU,2020-06-28 14:24:48,56.45,138.17,46.09,89,0,2.84
273,Ponta Do Sol,PT,2020-06-28 14:24:48,32.67,-17.1,75.0,72,2,11.99
274,Longyearbyen,SJ,2020-06-28 14:24:48,78.22,15.64,42.8,75,75,4.7
275,Wajima,JP,2020-06-28 14:24:48,37.4,136.9,67.84,77,93,3.8
276,Iquira,CO,2020-06-28 14:24:48,2.65,-75.63,75.2,83,100,4.7
